('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 3.012, 'Y : ', -32.013)


('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 2.969, 'Y : ', 0.639)
('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 18.064, 'Y : ', -21.089)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -0.422, 'Y : ', -33.735)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -0.713, 'Y : ', 2.699)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 7.265, 'Y : ', -30.592)
('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 3.012, 'Y : ', -32.013)


('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 6.443, 'Y : ', 4.055)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 12.88, 'Y : ', -92.154)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.333, 'Y : ', -7.827)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 6.443, 'Y : ', 4.055)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 12.88, 'Y : ', -92.154)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.333, 'Y : ', -7.827)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 3.441, 'Y : ', -2.503)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 2.91, 'Y : ', -26.273)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 6.443, 'Y : ', 4.055)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 1.356, 'Y : ', -3.859)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -0.421, 'Y : ', 0.108)








('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 1.356, 'Y : ', -3.859)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -0.421, 'Y : ', 0.108)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -0.301, 'Y : ', 1.45)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 3.474, 'Y : ', 0.545)
('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 2.352, 'Y : ', 3.212)


('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -0.432, 'Y : ', 1.32)
('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 1.356, 'Y : ', -3.859)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -0.421, 'Y : ', 0.108)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -0.301, 'Y : ', 1.45)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 3.474, 'Y : ', 0.545)
('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 2.352, 'Y : ', 3.212)


('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 0.1, 'Y : ', -11.142)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 3.108, 'Y : ', -28.618)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.544, 'Y : ', -30.967)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 0.1, 'Y : ', -11.142)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 3.108, 'Y : ', -28.618)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.544, 'Y : ', -30.967)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 2.369, 'Y : ', -0.468)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -0.017, 'Y : ', -15.162)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 0.1, 'Y : ', -11.142)




('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 1.039, 'Y : ', -1.834)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 1.039, 'Y : ', -14.297)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.833, 'Y : ', -1.097)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 1.039, 'Y : ', -1.834)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 1.039, 'Y : ', -14.297)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.833, 'Y : ', -1.097)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 2.177, 'Y : ', 1.361)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 3.898, 'Y : ', -2.106)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 1.039, 'Y : ', -1.834)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 0.442, 'Y : ', -6.258)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.203, 'Y : ', -2.092)








('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 0.442, 'Y : ', -6.258)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.203, 'Y : ', -2.092)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 0.88, 'Y : ', 1.073)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 0.344, 'Y : ', 0.801)
('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 0.293, 'Y : ', 0.684)


('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 0.335, 'Y : ', -5.636)
('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 0.442, 'Y : ', -6.258)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.203, 'Y : ', -2.092)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 0.88, 'Y : ', 1.073)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 0.344, 'Y : ', 0.801)
('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 0.293, 'Y : ', 0.684)


('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 3.258, 'Y : ', -2.841)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 4.495, 'Y : ', -85.892)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 11.445, 'Y : ', -88.112)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 3.258, 'Y : ', -2.841)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 4.495, 'Y : ', -85.892)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 11.445, 'Y : ', -88.112)
