('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 19.987, 'Y : ', -51.863)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -48.354, 'Y : ', -64.111)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -53.329, 'Y : ', 20.973)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 2.772, 'Y : ', -0.25)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -25.271, 'Y : ', 29.417)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -23.558, 'Y : ', 52.191)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 22.641, 'Y : ', 16.322)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -18.978, 'Y : ', 18.697)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -14.461, 'Y : ', -7.646)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 6.068, 'Y : ', 26.098)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 18.067, 'Y : ', 5.145)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 37.514, 'Y : ', 4.85)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 36.039, 'Y : ', -98.43)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -0.841, 'Y : ', -99.539)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -1.422, 'Y : ', 9.438)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 6.009, 'Y : ', -101.2)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 14.493, 'Y : ', -105.371)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 5.923, 'Y : ', -3.964)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 12.854, 'Y : ', -0.663)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 25.695, 'Y : ', -299.629)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.665, 'Y : ', -23.947)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 6.865, 'Y : ', -14.243)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 5.805, 'Y : ', -83.918)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 2.96, 'Y : ', -79.745)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 2.705, 'Y : ', -14.159)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -0.839, 'Y : ', 1.152)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -0.6, 'Y : ', 4.909)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 4.693, 'Y : ', 4.909)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 6.93, 'Y : ', -5.241)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -0.862, 'Y : ', 4.782)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 0.2, 'Y : ', -33.348)
